Table C1 
Energy Partitioning Results


$\tfrac{{M}_{\mathrm{proj}}}{{M}_{\mathrm{earth}}}$	$\tfrac{{v}_{\mathrm{imp}}}{{v}_{\mathrm{esc}}}$	theta	E _imp [J]	$\tfrac{{\rm{\Delta }}{E}_{\mathrm{interior}}}{{E}_{\mathrm{imp}}}$	$\tfrac{{\rm{\Delta }}{E}_{\mathrm{surf}}}{{E}_{\mathrm{imp}}}$	$\tfrac{{\rm{\Delta }}{E}_{\mathrm{atmo}}}{{E}_{\mathrm{imp}}}$	$\tfrac{{\rm{\Delta }}{E}_{{\rm{disk}}}}{{E}_{\mathrm{imp}}}$	$\tfrac{{\rm{\Delta }}{E}_{\mathrm{esc}}}{{E}_{\mathrm{imp}}}$	$\tfrac{{\rm{\Delta }}{\mathrm{IE}}^{\mathrm{surf}}}{{E}_{\mathrm{imp}}}$	$\tfrac{{\rm{\Delta }}{\mathrm{IE}}^{\mathrm{atmo}}}{{E}_{\mathrm{imp}}}$	
0.0012	1.1	0	4.7 x 10^29	0.18	0.6	0.09	0	0	0.36	0.09	
0.0012	1.1	30	4.7 x 10^29	0.23	0.58	0.11	0	0.03	0.45	0.11	
0.0012	1.1	45	4.7 x 10^29	0.14	0.55	0.08	0.01	0.15	0.47	0.09	
0.0012	1.1	60	4.7 x 10^29	0.17	0.32	0.06	0.01	0.38	0.3	0.06	
0.0012	1.5	0	8.7 x 10^29	0.22	0.62	0.09	0	0	0.3	0.09	
0.0012	1.5	30	8.7 x 10^29	0.2	0.54	0.14	0	0.05	0.34	0.14	
0.0012	1.5	45	8.7 x 10^29	0.17	0.47	0.11	0	0.21	0.34	0.12	
0.0012	1.5	60	8.7 x 10^29	0.16	0.21	0.04	0	0.56	0.18	0.04	
0.0012	2	0	1.5 x 10^30	0.16	0.7	0.12	0.01	0.03	0.27	0.12	
0.0012	2	30	1.5 x 10^30	0.17	0.56	0.19	0	0.06	0.28	0.18	
0.0012	2	45	1.5 x 10^30	0.14	0.44	0.14	0.01	0.25	0.26	0.14	
0.0012	2	60	1.5 x 10^30	0.12	0.15	0.03	0	0.68	0.11	0.04	
0.003	1.1	0	1.1 x 10^30	0.16	0.69	0.07	0	0	0.28	0.08	
0.003	1.1	30	1.1 x 10^30	0.19	0.61	0.12	0	0.05	0.38	0.13	
0.003	1.1	45	1.1 x 10^30	0.14	0.56	0.1	0	0.19	0.38	0.11	
0.003	1.1	60	1.1 x 10^30	0.19	0.3	0.05	0.02	0.42	0.23	0.06	
